iter	RMSEWithUncertainty
583	-1.784065575
584	-1.785289934
585	-1.786952718
586	-1.78745735
587	-1.789113286
588	-1.790448751
589	-1.791697277
590	-1.79331283
591	-1.794023112
592	-1.795358218
593	-1.796144002
594	-1.797230353
595	-1.798709499
596	-1.799487768
597	-1.799696151
598	-1.800121713
599	-1.801831669
600	-1.803119529
601	-1.80451938
602	-1.805273262
603	-1.805578247
604	-1.806354405
605	-1.806671561
606	-1.807702811
607	-1.808549373
608	-1.809644886
609	-1.810370766
610	-1.81247243
611	-1.813153939
612	-1.813345312
613	-1.814341789
614	-1.814869664
615	-1.81546825
616	-1.815983512
617	-1.816628049
618	-1.817234399
619	-1.817461699
620	-1.817989732
621	-1.818389881
622	-1.818847076
623	-1.819701832
624	-1.820195027
625	-1.822104095
626	-1.82324725
627	-1.823798633
628	-1.8253591
629	-1.826146936
630	-1.826754122
631	-1.827488406
632	-1.828182417
633	-1.829845353
634	-1.83049841
635	-1.831567959
636	-1.832297665
637	-1.832459212
638	-1.833204541
639	-1.833766205
640	-1.83522923
641	-1.836352443
642	-1.836724645
643	-1.837415959
644	-1.839159911
645	-1.84034406
646	-1.841830917
647	-1.842808144
648	-1.843358605
649	-1.845206209
650	-1.845535378
651	-1.84614936
652	-1.847359675
653	-1.847911458
654	-1.848590531
655	-1.848949018
656	-1.850426522
657	-1.850958121
658	-1.851264418
659	-1.851836814
660	-1.85288911
661	-1.853084727
662	-1.85451146
663	-1.855256385
664	-1.855618499
665	-1.856286497
666	-1.857092239
667	-1.85828596
668	-1.858877243
669	-1.85950983
670	-1.860625066
671	-1.861033888
672	-1.862230817
673	-1.863009756
674	-1.86391827
675	-1.865008874
676	-1.866087495
677	-1.867081712
678	-1.86793247
679	-1.869318934
680	-1.870343372
681	-1.871333864
682	-1.871958928
683	-1.87343977
684	-1.873858618
685	-1.874579846
686	-1.876441202
687	-1.878717419
688	-1.87964938
689	-1.879874362
690	-1.880419661
691	-1.880904077
692	-1.88143232
693	-1.881838124
694	-1.881812271
695	-1.88234674
696	-1.882427315
697	-1.882769833
698	-1.883135962
699	-1.883281121
700	-1.884056202
701	-1.884389935
702	-1.884573177
703	-1.885783613
704	-1.887384297
705	-1.887264932
706	-1.887765182
707	-1.888498061
708	-1.88825849
709	-1.889727875
710	-1.890003271
711	-1.891271489
712	-1.892263548
713	-1.89266883
714	-1.893096873
715	-1.893311723
716	-1.893396745
717	-1.894315721
718	-1.895219446
719	-1.896651883
720	-1.89762087
721	-1.898270789
722	-1.899286711
723	-1.900582672
724	-1.901676342
725	-1.902438352
726	-1.902690821
727	-1.903385362
728	-1.904454919
729	-1.906195615
730	-1.906850087
731	-1.907405183
732	-1.908016878
733	-1.90859087
734	-1.910853757
735	-1.91248058
736	-1.91376075
737	-1.915012352
738	-1.917081329
739	-1.918716128
