iter	Passed	Remaining
402	8965	13281
403	8986	13257
404	9006	13232
405	9026	13206
406	9048	13183
407	9069	13159
408	9089	13133
409	9110	13110
410	9130	13085
411	9152	13062
412	9174	13039
413	9195	13015
414	9215	12990
415	9237	12967
416	9262	12950
417	9287	12931
418	9309	12909
419	9330	12885
420	9351	12861
421	9376	12842
422	9397	12819
423	9419	12796
424	9441	12773
425	9462	12750
426	9484	12727
427	9504	12702
428	9525	12678
429	9563	12677
430	9600	12673
431	9623	12652
432	9643	12627
433	9664	12604
434	9685	12580
435	9706	12556
436	9728	12533
437	9748	12508
438	9767	12482
439	9788	12458
440	9809	12433
441	9829	12409
442	9850	12385
443	9871	12361
444	9890	12335
445	9911	12311
446	9932	12287
447	9951	12261
448	9971	12236
449	9992	12212
450	10013	12189
451	10035	12167
452	10056	12143
453	10077	12120
454	10098	12096
455	10120	12073
456	10141	12050
457	10162	12026
458	10182	12001
459	10207	11982
460	10238	11971
461	10268	11957
462	10290	11935
463	10310	11910
464	10329	11884
465	10349	11859
466	10369	11835
467	10390	11811
468	10411	11787
469	10431	11762
470	10452	11739
471	10474	11717
472	10496	11694
473	10516	11670
474	10535	11644
475	10557	11622
476	10579	11599
477	10602	11578
478	10628	11560
479	10653	11541
480	10680	11524
481	10709	11509
482	10731	11486
483	10751	11462
484	10772	11438
485	10792	11414
486	10813	11390
487	10833	11366
488	10854	11343
489	10876	11320
490	10896	11296
491	10916	11271
492	10937	11247
493	10957	11223
494	10977	11199
495	10999	11176
496	11020	11153
497	11041	11129
498	11062	11106
499	11084	11084
500	11106	11061
501	11126	11038
502	11147	11014
503	11168	10991
504	11189	10967
505	11210	10944
506	11233	10922
507	11256	10901
508	11277	10878
509	11301	10858
510	11323	10836
511	11346	10814
512	11370	10794
513	11395	10775
514	11421	10755
515	11444	10734
516	11467	10713
517	11490	10692
518	11514	10671
519	11536	10649
520	11559	10627
521	11582	10606
522	11604	10583
523	11626	10561
524	11648	10539
525	11671	10517
526	11694	10496
527	11716	10474
528	11740	10453
529	11762	10431
530	11784	10408
531	11805	10385
532	11827	10362
533	11849	10340
534	11869	10316
535	11890	10293
536	11912	10270
537	11934	10248
538	11955	10225
539	11977	10203
540	11999	10180
541	12020	10157
542	12040	10133
543	12061	10110
544	12082	10087
545	12104	10064
546	12124	10040
547	12147	10019
548	12168	9996
549	12189	9973
550	12212	9951
551	12233	9928
552	12255	9906
553	12277	9884
554	12301	9863
555	12324	9842
556	12346	9819
557	12369	9798
558	12392	9776
559	12416	9755
560	12438	9733
561	12460	9711
562	12483	9689
563	12505	9667
564	12527	9645
565	12550	9623
566	12572	9601
567	12594	9578
568	12616	9556
569	12638	9534
570	12660	9512
571	12682	9489
572	12703	9466
573	12724	9443
574	12748	9422
575	12769	9399
576	12788	9375
577	12810	9352
578	12830	9329
579	12852	9306
580	12875	9285
581	12896	9262
582	12916	9238
583	12938	9216
584	12960	9193
585	12982	9172
586	13004	9149
587	13025	9126
588	13047	9104
589	13069	9081
590	13090	9059
591	13111	9036
592	13133	9014
593	13155	8991
594	13175	8968
595	13197	8946
596	13219	8923
597	13242	8902
598	13265	8880
599	13286	8857
600	13309	8836
601	13330	8813
602	13353	8791
603	13375	8769
604	13399	8748
605	13422	8726
606	13444	8704
607	13468	8683
608	13490	8661
609	13513	8639
610	13535	8617
611	13556	8594
612	13579	8572
613	13602	8551
614	13624	8529
615	13646	8506
616	13667	8484
617	13687	8460
618	13707	8437
619	13728	8414
620	13751	8392
621	13773	8370
